Obs,HHMMSS,sp,clone,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
1,11:52:49,S.viminalis x S.miyabeana,99202-011,314,0,18.30166997,0.199125633,229.1468904,1,1,0,0,564.7160645,1153.456177,855.6695557,#DIV/0!,0.51041394,0.258168994,-1,0.87,0.92,9.404763222,0.874702382,0.010878882,0.50580318,2.042541818,-1,2028.384644,0.5,229.0259589,2.974828609,1.480311583,23.17674065,2,4.644859791,1,9.289719582,23.68072319,23.17674065,24.93824959,399.3482666,386.3938904,11.86520767,13.81905365,40.02889252,46.62046051,300.302002,2028.384644,1587.798828,99.11788177,2.85366559,0.441685319,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50151001,0.002974829,296.3267406,296.8307232,324.5415357,0.796200349,2.850026909,28.75391259,14.93485894,23.42873192,2.893727673,0.194946935,1.369715326,1.524012347,0.122210498,22.71255439,0.593039632,48.04374581,383.7342563,0.022913794,0,1774.232879,588.7401123,0.258168994,#DIV/0!
2,11:56:28,S.viminalis x S.miyabeana,99202-011,533,0,17.70916317,0.193598358,230.311344,2,2,0,0,564.3225098,1201.151367,809.1679688,#DIV/0!,0.530182019,0.326339718,-1,0.87,0.92,9.996839523,0.87499842,0.014050129,0.615523926,2.128483884,-1,1521.832275,0.5,217.2771207,2.658647687,1.361112186,22.34917641,2,4.644859791,1,9.289719582,23.69070244,22.34917641,24.93655968,398.6438904,386.1746826,11.86872768,13.61403847,40.01779938,45.90246582,300.5141296,1521.832275,1697.171997,99.12056732,2.682339907,0.439142823,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.502570648,0.002658648,295.4991764,296.8407024,243.4931586,0.565366182,2.710543403,27.34592301,13.73188454,23.01993942,2.823126508,0.189646121,1.349431216,1.473695292,0.118877684,22.82859107,0.596391618,49.78117655,383.6011528,0.02298176,0,1331.600836,636.8288574,0.326339718,#DIV/0!
3,11:58:34,S.viminalis x S.miyabeana,99202-011,659,0,16.28568435,0.187366527,240.4972795,3,3,0,0,582.2429199,1406.785645,810.6948242,#DIV/0!,0.586118239,0.423725407,-1,0.87,0.92,10.00002384,0.875000012,0.01949332,0.722935031,2.416148993,-1,1013.427551,0.5,187.8690659,2.327296026,1.231255263,21.43396568,2,4.644859791,1,9.289719582,23.66870117,21.43396568,24.94565201,399.7667847,388.3256226,11.91107273,13.43928623,40.21118927,45.37036133,300.4840393,1013.427551,1667.955811,99.11408234,2.801785707,0.4394871,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.502420197,0.002327296,294.5839657,296.8187012,162.1484046,0.33797822,2.563277785,25.86189293,12.4226067,22.55133343,2.744052936,0.183662201,1.332022522,1.412030414,0.115116036,23.83666716,0.619318596,51.97146803,385.9589554,0.021929558,0,886.7491194,824.5427246,0.423725407,#DIV/0!
4,12:01:25,S.viminalis x S.miyabeana,99202-011,830,0,13.68896709,0.177950318,258.8036773,4,4,0,0,641.1306152,2059.916016,890.4744873,#DIV/0!,0.688758857,0.567713207,-1,0.87,0.92,10.14035225,0.875070176,0.033028205,0.8242554,3.212942834,-1,508.2336426,0.5,126.2424152,2.034673771,1.13289579,20.78199005,2,4.644859791,1,9.289719582,23.78074265,20.78199005,24.94136238,399.5805664,389.9351501,12.07962418,13.41655922,40.50677872,44.98994446,300.2951355,508.2336426,1722.036621,99.11575317,2.744351625,0.444942117,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501475677,0.002034674,293.9319901,296.9307426,81.31738099,0.099761327,2.462688162,24.84658677,11.43002755,22.28136635,2.699383704,0.174605639,1.329792372,1.369591332,0.109424173,25.6515214,0.663709535,53.98183659,387.945843,0.019047906,0,444.7401031,1418.7854,0.567713207,#DIV/0!
5,12:05:04,S.viminalis x S.miyabeana,99202-011,1049.5,0,10.62487547,0.16967385,283.1495615,5,5,0,0,679.9440918,2493.13623,897.4228516,#DIV/0!,0.727273591,0.640042594,-1,0.87,0.92,10.11299229,0.875056496,0.043418329,0.880057521,3.666678276,-1,305.9701843,0.5,85.68288519,1.890561311,1.102934998,20.70577812,2,4.644859791,1,9.289719582,23.87467766,20.70577812,24.93929863,398.579071,391.0108643,12.3613348,13.60327339,41.2156105,45.35652924,300.3117065,305.9701843,1621.465454,99.11023712,2.221127748,0.465041757,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501558533,0.001890561,293.8557781,297.0246777,48.9552284,0.003189591,2.45115865,24.73163945,11.12836605,22.29022789,2.700839786,0.166630398,1.348223651,1.352616135,0.104413223,28.06302018,0.724147556,54.9470799,389.4668368,0.014989874,0,267.7411974,1813.192139,0.640042594,#DIV/0!
6,12:08:43,S.viminalis x S.miyabeana,99202-011,1268.5,0,8.192361501,0.166094402,307.9362755,6,6,0,0,682.5598145,2624.979492,860.0402832,#DIV/0!,0.739975182,0.672363047,-1,0.87,0.92,10.47575378,0.875237877,0.051279455,0.908629185,3.845786752,-1,204.8130341,0.5,60.26394193,1.751573141,1.043841541,20.33092117,2,4.644859791,1,9.289719582,23.83300209,20.33092117,24.94135094,399.9882507,394.0752869,12.48313141,13.63321972,41.72929001,45.5738678,300.4453735,204.8130341,1816.243774,99.11769867,2.392209291,0.452234864,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.502226868,0.001751573,293.4809212,296.9830021,32.77008472,-0.022588068,2.395134905,24.16455323,10.53133351,22.08196163,2.666799728,0.1631769,1.351293364,1.315506364,0.10224373,30.52193496,0.781414835,56.35901822,392.8847571,0.01175188,0,179.2601251,1942.419678,0.672363047,#DIV/0!
7,12:12:22,S.viminalis x S.miyabeana,99202-011,1487.5,0,3.947812177,0.158178026,349.0563971,7,7,0,0,692.0476074,2692.320068,816.4108887,#DIV/0!,0.742954927,0.696763064,-1,0.87,0.92,9.166122437,0.874583061,0.054323379,0.937826829,3.890368292,-1,104.1418686,0.5,31.73083875,1.643211269,1.027313838,20.30943871,2,4.644859791,1,9.289719582,23.8938179,20.30943871,24.93737984,398.9148254,395.852417,12.68921661,13.76851082,42.26155472,45.8561554,300.3049011,104.1418686,1659.400391,99.11345673,2.227872133,0.458780885,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501524506,0.001643211,293.4594387,297.0438179,16.6626986,-0.064280934,2.39195854,24.13353967,10.36502885,22.1016283,2.669998009,0.155529787,1.364644701,1.305353308,0.097440626,34.59618611,0.881784175,56.95465141,395.2787133,0.005688297,0,91.08071423,2000.272461,0.696763064,#DIV/0!
8,12:16:01,S.viminalis x S.miyabeana,99202-011,1706.5,0,2.673692296,0.153174384,363.7715936,8,8,0,0,698.373291,2721.715332,774.1999512,#DIV/0!,0.743406931,0.715547052,-1,0.87,0.92,8.851790428,0.874425895,0.074529945,0.962524052,3.897221396,-1,56.370121,0.5,17.63519143,1.580013842,1.019458643,20.32031059,2,4.644859791,1,9.289719582,23.90784645,20.32031059,24.93629646,400.6734009,398.473175,12.82636261,13.86417484,42.68171692,46.13519669,300.2678528,56.370121,1601.221436,99.11206055,2.244382143,0.475746751,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501339264,0.001580014,293.4703106,297.0578465,9.019219159,-0.083574309,2.393565579,24.150094,10.28591916,22.11407852,2.672024454,0.150689723,1.374106936,1.297917517,0.0944012,36.05415221,0.912913632,57.28740833,398.0846289,0.003847647,0,49.29149352,2023.342041,0.715547052,#DIV/0!
9,12:19:06,S.viminalis x S.miyabeana,99202-011,1892.5,0,-0.151558224,0.152341061,393.87132,8,8,0,0,698.373291,2721.715332,774.1999512,#DIV/0!,0.743406931,0.715547052,-1,0.87,0.92,0,0.87,0.420594313,0.962524052,3.897221396,-1,56.370121,0.5,17.54593114,1.564618083,1.015012444,20.31216049,2,4.644859791,1,9.289719582,23.90297318,20.31216049,24.92925453,399.1767883,398.8620605,12.86832333,13.89599991,42.83660126,46.25757217,300.2649231,2.318672419,1757.797729,99.11833191,2.244382143,0.475746751,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501324615,0.001564618,293.4621605,297.0529732,0.370987579,-0.11536309,2.392360775,24.13641078,10.24041087,22.10756683,2.670964419,0.149883145,1.377348331,1.293616088,0.093894736,39.03986822,0.987487553,57.44812716,398.8840853,-0.000218277,0,2.017245004,2023.342041,0.715547052,#DIV/0!
10,12:23:37,S.purpurea x S.miyabeana,99217-015,2161,0,22.40083493,0.309583675,257.5416844,8,8,0,0,698.373291,2721.715332,774.1999512,#DIV/0!,0.743406931,0.715547052,-1,0.87,0.92,9.404763222,0.874702382,0.013204865,0.962524052,3.897221396,-1,56.370121,0.5,17.64076753,3.912945862,1.26474247,23.49038887,2,4.644859791,1,9.289719582,24.07350922,23.49038887,24.93855286,399.196228,383.2825317,13.9828949,16.54513931,46.06790161,54.50944519,300.3777161,2025.989014,1498.692993,99.10866547,2.244382143,0.475746751,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50188858,0.003912946,296.6403889,297.2235092,324.1582349,0.632718149,2.904509147,29.30630872,12.76116941,23.78194904,2.955969288,0.299599404,1.639766677,1.316202611,0.188121765,25.52461265,0.671936922,56.87146888,380.0271991,0.033523084,0,1772.137415,2023.342041,0.715547052,#DIV/0!
11,12:24:16,S.purpurea x S.miyabeana,99217-015,2201.5,0,22.97585786,0.304596549,252.3416112,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,9.404763222,0.874702382,0.013545289,0.423724137,2.13403093,-1,2023.604126,0.5,199.2797929,3.877449779,1.272799503,23.65653801,2,4.644859791,1,9.289719582,24.1294899,23.65653801,24.94177055,399.3586426,383.0713196,14.22020435,16.75871086,46.69270325,55.02801132,300.3710022,2023.604126,1469.321411,99.1089325,2.402676821,0.469053864,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501855011,0.00387745,296.806538,297.2794899,323.7766529,0.632457959,2.933737446,29.60114061,12.84242974,23.89301395,2.975780831,0.294926338,1.660937943,1.314842887,0.185174044,25.00930771,0.658732717,56.99561344,379.7324235,0.034485417,0,1770.051348,781.6972656,0.225168375,#DIV/0!
12,12:26:33,S.purpurea x S.miyabeana,99217-015,2341.5,0,23.31783869,0.280533867,241.4957974,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,9.996839523,0.87499842,0.018305193,0.423724137,2.13403093,-1,2023.604126,0.5,199.3472381,3.218950747,1.144870499,23.03660393,2,4.644859791,1,9.289719582,24.11980057,23.03660393,24.94296646,400.1627197,383.81427,14.85591602,16.96284866,48.80656433,55.72853088,300.3748779,1518.250366,1502.307251,99.10507202,2.172452211,0.480211854,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50187439,0.003218951,296.1866039,297.2698006,242.9200532,0.452741319,2.825974838,28.51493652,11.55208786,23.57820225,2.919925038,0.272310548,1.681104338,1.2388207,0.170914284,23.93345839,0.629199632,59.76012489,380.4256766,0.036629414,0,1328.466671,781.6972656,0.225168375,#DIV/0!
13,12:28:17,S.purpurea x S.miyabeana,99217-015,2445.5,0,21.0887577,0.2687707,251.0832377,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,10.00002384,0.875000012,0.024990506,0.423724137,2.13403093,-1,2023.604126,0.5,199.3476008,2.790844043,1.035338141,22.37829208,2,4.644859791,1,9.289719582,24.15267563,22.37829208,24.94354057,399.9095764,385.1514282,15.1255331,16.9523735,49.59272766,55.58246613,300.3582153,1010.155396,1466.983398,99.10171509,2.207059145,0.480303407,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501791077,0.002790844,295.5282921,297.3026756,161.6248597,0.233972587,2.71534743,27.39960078,10.44722728,23.26548386,2.865350596,0.261213262,1.680009289,1.185341307,0.163920864,24.88277949,0.651907845,62.10260039,382.0867692,0.034276683,0,883.8859831,781.6972656,0.225168375,#DIV/0!
14,12:29:55,S.purpurea x S.miyabeana,99217-015,2544,0,16.61492082,0.256682836,277.0025675,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,10.14035225,0.875070176,0.039691212,0.423724137,2.13403093,-1,2023.604126,0.5,199.363586,2.340297423,0.908628262,21.53442764,2,4.644859791,1,9.289719582,24.11501884,21.53442764,24.94962692,399.6539001,387.9850159,15.3236351,16.8558197,50.35664749,55.39172745,300.3358459,507.1582031,1487.222534,99.10314941,2.392453432,0.477543473,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50167923,0.002340297,294.6844276,297.2650188,81.14531069,0.027108895,2.579093081,26.02433016,9.168510462,22.82472324,2.789946338,0.24978117,1.670464818,1.119481519,0.156718972,27.45182683,0.713951715,64.96560149,385.5705035,0.027994837,0,443.7990181,781.6972656,0.225168375,#DIV/0!
15,12:31:23,S.purpurea x S.miyabeana,99217-015,2633,0,12.85024476,0.252077044,302.3973684,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,10.11299229,0.875056496,0.051664097,0.423724137,2.13403093,-1,2023.604126,0.5,199.3604694,2.1596499,0.853661629,21.10923576,2,4.644859791,1,9.289719582,24.07459259,21.10923576,24.9534359,399.8364868,390.7173157,15.32834625,16.74242592,50.48987198,55.14769363,300.3355713,306.360321,1485.50647,99.09403992,2.269650698,0.48089087,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501677856,0.00215965,294.2592358,297.2245926,49.01765027,-0.052733824,2.512736251,25.3570876,8.614661685,22.59191418,2.750823112,0.245417623,1.659074622,1.09174849,0.153970736,29.9657769,0.773954356,66.21291801,388.8498933,0.021881251,0,268.0825891,781.6972656,0.225168375,#DIV/0!
16,12:33:31,S.purpurea x S.miyabeana,99217-015,2760,0,8.923292072,0.252213501,330.2018425,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,10.47575378,0.875237877,0.055237779,0.423724137,2.13403093,-1,2023.604126,0.5,199.4017926,2.090446398,0.826044306,20.85109138,2,4.644859791,1,9.289719582,24.05152893,20.85109138,24.95279503,399.5219116,393.0327148,15.25399208,16.62289429,50.31180573,54.82681656,300.3424377,205.2548676,1483.785645,99.08856201,2.325589418,0.491081834,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501712189,0.002090446,294.0010914,297.2015289,32.84077807,-0.095012567,2.473182997,24.95931868,8.336424395,22.45131016,2.727428053,0.245546964,1.647138691,1.080289362,0.154052192,32.71922575,0.840138314,66.79236259,391.7359648,0.015214527,0,179.6468345,781.6972656,0.225168375,#DIV/0!
17,12:34:43,S.purpurea x S.miyabeana,99217-015,2833,0,4.968434261,0.254534562,358.6519767,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,9.166122437,0.874583061,0.065339393,0.423724137,2.13403093,-1,2023.604126,0.5,199.2526087,2.123801667,0.831836629,20.86039162,2,4.644859791,1,9.289719582,24.09910965,20.86039162,24.95249557,399.6383667,395.7701721,15.18695831,16.57775307,49.95075226,54.5251503,300.3453674,104.4441833,1476.309082,99.09436035,2.325589418,0.491081834,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501726837,0.002123802,294.0103916,297.2491096,16.71106896,-0.163751929,2.474598466,24.97214228,8.394389211,22.47975063,2.732146157,0.247746411,1.642761836,1.089384321,0.1554374,35.54038822,0.906212752,66.5873136,395.0481497,0.008374541,0,91.3451136,781.6972656,0.225168375,#DIV/0!
18,12:35:36,S.purpurea x S.miyabeana,99217-015,2885,0,3.032364297,0.256537956,372.5751301,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,8.851790428,0.874425895,0.081430573,0.423724137,2.13403093,-1,2023.604126,0.5,199.2168022,2.135607883,0.830220332,20.80746269,2,4.644859791,1,9.289719582,24.11464119,20.80746269,24.95692825,399.766571,397.1824951,15.11316872,16.5117836,49.66498947,54.26112747,300.3464661,56.63035202,1486.090698,99.1008606,2.325589418,0.491081834,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50173233,0.002135608,293.9574627,297.2646412,9.060856121,-0.193454686,2.466552297,24.88931258,8.377528984,22.46105194,2.729043353,0.249643974,1.636331965,1.092711388,0.156632558,36.92251603,0.938045192,66.55301436,396.7418261,0.005086758,0,49.51904626,781.6972656,0.225168375,#DIV/0!
19,12:36:34,S.purpurea x S.miyabeana,99217-015,2943.5,0,-0.198005483,0.252597128,394.955907,9,9,0,0,689.3085938,1471.005859,1139.78186,#DIV/0!,0.53140323,0.225168375,-1,0.87,0.92,0,0.87,0.373048203,0.423724137,2.13403093,-1,2023.604126,0.5,198.208469,2.093445692,0.826224943,20.74404907,2,4.644859791,1,9.289719582,24.12953949,20.74404907,24.94285393,399.4839478,399.0595093,15.0845623,16.45561981,49.52520752,54.02662277,300.3516235,2.471082211,1460.253174,99.09790802,2.325589418,0.491081834,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501758118,0.002093446,293.8940491,297.2795395,0.395373145,-0.217264545,2.456942442,24.79308081,8.337460997,22.43679428,2.725022706,0.245910564,1.630717499,1.094305208,0.15428118,39.13930415,0.989716816,66.57258483,399.0882838,-0.000330296,0,2.149841523,781.6972656,0.225168375,#DIV/0!
